注文ID,注文日,顧客ID,顧客タイプ,商品カテゴリ,商品名,単価,数量,売上金額,都道府県,支払方法
K004177,2024-08-06,C0293,個人,OA用品,USBメモリ32GB,1160,1,1160,東京,代金引換
K001260,2024-08-06,C0231,法人,生活用品,ウェットティッシュ,1800,8,14400,大阪,クレジットカード
K003431,2024-08-06,C0163,個人,食品飲料,ミネラルウォーター（24本）,675,5,3375,大阪,クレジットカード
K002243,2024-08-06,C0253,法人,オフィス家具,オフィスチェア,6734,1,6734,大阪,請求書払い
K004225,2024-08-06,C0242,個人,文具,ボールペン（10本）,1150,3,3450,東京,クレジットカード
K000904,2024-08-06,C0074,個人,OA用品,トナーカートリッジ,2228,3,6684,埼玉,代金引換
K000698,2024-08-06,C0114,法人,文具,ボールペン（10本）,704,27,19008,大阪,銀行振込
K001192,2024-08-06,C0025,法人,文具,クリアファイル（20枚）,739,12,8868,愛知,クレジットカード
K001833,2024-08-06,C0145,法人,OA用品,トナーカートリッジ,2490,1,2490,東京,銀行振込
K000497,2024-08-07,C0133,法人,生活用品,紙コップ（100個）,2510,10,25100,東京,請求書払い
K000358,2024-08-07,C0147,法人,文具,修正テープ,1436,30,43080,東京,請求書払い
K000464,2024-08-07,C0018,個人,文具,付箋セット,386,4,1544,愛知,クレジットカード
K004212,2024-08-07,C0057,法人,文具,クリアファイル（20枚）,671,6,4026,神奈川,請求書払い
K004509,2024-08-07,C0050,法人,生活用品,ハンドソープ詰替,852,4,3408,福岡,請求書払い
K000787,2024-08-07,C0087,法人,文具,付箋セット,577,8,4616,神奈川,請求書払い
K002585,2024-08-07,C0156,法人,OA用品,コピー用紙（A4・500枚）,810,10,8100,神奈川,請求書払い
K002938,2024-08-07,C0198,法人,生活用品,紙コップ（100個）,3049,7,21343,愛知,クレジットカード
K003324,2024-08-07,C0284,法人,OA用品,LANケーブル（5m）,4865,1,4865,東京,銀行振込
K003143,2024-08-07,C0201,個人,文具,ボールペン（10本）,568,10,5680,神奈川,クレジットカード
K004249,2024-08-07,C0102,個人,OA用品,電卓,1448,5,7240,大阪,クレジットカード
K001409,2024-08-07,C0203,法人,食品飲料,緑茶ペット（24本）,1494,4,5976,大阪,請求書払い
K000485,2024-08-07,,法人,生活用品,ゴミ袋（90L・50枚）,1598,2,3196,神奈川,請求書払い
K004207,2024-08-07,C0027,法人,OA用品,コピー用紙（A4・500枚）,1945,5,9725,東京,請求書払い
K004304,2024-08-08,C0143,法人,文具,修正テープ,1411,26,36686,東京,請求書払い
K002489,2024-08-08,C0070,法人,生活用品,ウェットティッシュ,2010,2,4020,大阪,銀行振込
K003430,2024-08-08,C0247,法人,オフィス家具,パーテーション,3542,1,3542,東京,クレジットカード
K000653,2024-08-08,C0224,法人,生活用品,紙コップ（100個）,397,11,4367,東京,クレジットカード
K001966,2024-08-08,C0082,法人,文具,ボールペン（10本）,852,12,10224,大阪,請求書払い
K004345,2024-08-08,C0087,法人,文具,ノート（A4・5冊）,1844,3,5532,東京,請求書払い
K000792,2024-08-08,C0103,法人,文具,ボールペン（10本）,376,20,7520,大阪,請求書払い
K003969,2024-08-08,C0249,個人,文具,ノート（A4・5冊）,1000,6,6000,埼玉,代金引換
K001571,2024-08-08,C0177,個人,文具,修正テープ,551,3,1653,東京,請求書払い
K004536,2024-08-08,C0104,法人,OA用品,トナーカートリッジ,3270,4,13080,東京,請求書払い
K003084,2024-08-08,C0178,法人,生活用品,ゴミ袋（90L・50枚）,454,13,5902,神奈川,請求書払い
K001927,2024-08-08,,法人,文具,付箋セット,799,22,17578,埼玉,請求書払い
K003109,2024-08-09,C0227,法人,文具,ノート（A4・5冊）,695,3,2085,神奈川,銀行振込
K000817,2024-08-09,C0218,個人,OA用品,LANケーブル（5m）,3295,4,13180,東京,請求書払い
K000566,2024-08-09,C0069,個人,文具,クリアファイル（20枚）,592,3,1776,福岡,代金引換
K001877,2024-08-09,C0191,個人,生活用品,紙コップ（100個）,1830,3,5490,東京,クレジットカード
K000170,2024-08-09,C0108,個人,OA用品,LANケーブル（5m）,3308,3,9924,福岡,代金引換
K002931,2024-08-09,C0278,個人,OA用品,LANケーブル（5m）,3308,1,3308,東京,代金引換
K000911,2024-08-09,C0062,法人,文具,クリアファイル（20枚）,249,3,747,福岡,銀行振込
K000290,2024-08-09,C0232,法人,生活用品,ゴミ袋（90L・50枚）,986,2,1972,愛知,銀行振込
K000994,2024-08-09,C0188,法人,文具,付箋セット,736,21,15456,東京,請求書払い
K002879,2024-08-09,C0266,個人,文具,修正テープ,909,8,7272,大阪,クレジットカード
K001360,2024-08-10,C0202,個人,文具,修正テープ,621,3,1863,大阪,クレジットカード
K000029,2024-08-10,C0014,法人,OA用品,電卓,4728,5,23640,東京,請求書払い
K001140,2024-08-10,C0232,法人,生活用品,ゴミ袋（90L・50枚）,756,11,8316,愛知,クレジットカード
K002267,2024-08-10,C0047,法人,食品飲料,スティックスープ,660,4,2640,大阪,銀行振込
K001918,2024-08-11,C0292,法人,文具,修正テープ,1552,10,15520,神奈川,請求書払い
K001380,2024-08-11,C0121,個人,文具,修正テープ,1321,8,10568,東京,クレジットカード
K002349,2024-08-11,C0073,個人,OA用品,電卓,1508,2,3016,愛知,請求書払い
K002236,2024-08-11,C0031,個人,OA用品,コピー用紙（A4・500枚）,4502,1,4502,愛知,請求書払い
K001115,2024-08-11,C0210,法人,OA用品,トナーカートリッジ,4295,5,21475,東京,銀行振込
K003486,2024-08-11,C0173,法人,文具,修正テープ,930,10,9300,北海道,請求書払い
K002796,2024-08-11,,法人,文具,付箋セット,484,22,10648,福岡,請求書払い
K003449,2024-08-11,C0195,個人,生活用品,紙コップ（100個）,1040,7,7280,東京,クレジットカード
K000647,2024-08-11,C0047,法人,OA用品,USBメモリ32GB,3802,1,3802,大阪,請求書払い
K004135,2024-08-11,C0257,法人,生活用品,ウェットティッシュ,826,5,4130,東京,銀行振込
K002692,2024-08-12,C0240,法人,生活用品,トイレットペーパー（12ロール）,2425,4,9700,福岡,クレジットカード
K001583,2024-08-12,C0253,法人,食品飲料,スティックスープ,1099,2,2198,埼玉,請求書払い
K004073,2024-08-12,C0245,法人,生活用品,トイレットペーパー（12ロール）,1480,10,14800,北海道,請求書払い
K004717,2024-08-12,C0100,個人,文具,ノート（A4・5冊）,1658,3,4974,福岡,クレジットカード
K004869,2024-08-12,C0247,法人,文具,ノート（A4・5冊）,820,8,6560,北海道,請求書払い
K003793,2024-08-12,C0252,法人,OA用品,電卓,4678,1,4678,埼玉,請求書払い
K004704,2024-08-12,C0250,個人,文具,ボールペン（10本）,732,6,4392,東京,代金引換
K003767,2024-08-12,C0293,個人,文具,修正テープ,406,4,1624,大阪,クレジットカード
K000712,2024-08-12,C0254,法人,オフィス家具,デスクトップワゴン,10500,2,21000,大阪,銀行振込
K000521,2024-08-12,C0051,法人,オフィス家具,デスクトップワゴン,11998,1,11998,東京,請求書払い
K004286,2024-08-12,C0052,法人,文具,クリアファイル（20枚）,458,6,2748,神奈川,請求書払い
K000977,2024-08-12,C0069,個人,生活用品,トイレットペーパー（12ロール）,526,7,3682,東京,請求書払い
K000850,2024-08-12,C0080,法人,文具,ボールペン（10本）,445,6,2670,東京,請求書払い
K004479,2024-08-12,C0053,法人,OA用品,USBメモリ32GB,5348,13,69524,埼玉,請求書払い
K004300,2024-08-12,C0291,法人,文具,ボールペン（10本）,725,12,8700,東京,請求書払い
K003730,2024-08-12,C0181,個人,生活用品,ゴミ袋（90L・50枚）,716,20,14320,大阪,代金引換
K001032,2024-08-12,C0097,個人,OA用品,トナーカートリッジ,1835,3,5505,愛知,請求書払い
K003372,2024-08-12,C0013,個人,生活用品,トイレットペーパー（12ロール）,630,2,1260,東京,クレジットカード
K000004,2024-08-13,C0019,個人,文具,ノート（A4・5冊）,591,8,4728,東京,クレジットカード
K003438,2024-08-13,C0055,法人,生活用品,ハンドソープ詰替,1277,2,2554,東京,請求書払い
K000950,2024-08-13,C0067,個人,食品飲料,ドリップコーヒー（50杯）,832,9,7488,福岡,代金引換
K000980,2024-08-13,C0300,法人,食品飲料,緑茶ペット（24本）,270,31,8370,東京,請求書払い
K003649,2024-08-13,C0114,法人,オフィス家具,会議用テーブル,14336,1,14336,愛知,請求書払い
K003063,2024-08-13,,法人,生活用品,ゴミ袋（90L・50枚）,2059,1,2059,愛知,請求書払い
K000055,2024-08-13,C0262,法人,オフィス家具,パーテーション,6965,2,13930,東京,請求書払い
K003075,2024-08-13,C0297,法人,文具,ボールペン（10本）,258,12,3096,東京,請求書払い
K004923,2024-08-13,C0047,法人,OA用品,トナーカートリッジ,3758,1,3758,大阪,銀行振込
K004352,2024-08-13,C0175,個人,文具,クリアファイル（20枚）,426,3,1278,愛知,クレジットカード
K003339,2024-08-13,C0056,個人,生活用品,ゴミ袋（90L・50枚）,592,11,6512,北海道,代金引換
K004524,2024-08-13,C0172,個人,生活用品,ウェットティッシュ,295,28,8260,東京,クレジットカード
K005000,2024-08-13,C0268,法人,生活用品,紙コップ（100個）,2308,10,23080,東京,請求書払い
K001953,2024-08-13,C0154,法人,オフィス家具,会議用テーブル,4368,10,43680,東京,請求書払い
K002249,2024-08-13,C0003,個人,文具,ボールペン（10本）,327,4,1308,大阪,クレジットカード
K002228,2024-08-13,C0163,個人,食品飲料,個包装菓子アソート,660,2,1320,大阪,クレジットカード
K004423,2024-08-14,C0071,個人,文具,付箋セット,219,44,9636,神奈川,請求書払い
K004275,2024-08-14,C0140,法人,OA用品,コピー用紙（A4・500枚）,1722,5,8610,東京,請求書払い
K002262,2024-08-14,C0203,法人,文具,ボールペン（10本）,419,6,2514,愛知,請求書払い
K000951,2024-08-14,C0030,個人,OA用品,電卓,3708,4,14832,東京,代金引換
K002276,2024-08-14,C0076,個人,OA用品,トナーカートリッジ,4458,3,13374,神奈川,クレジットカード
K002942,2024-08-14,C0112,法人,オフィス家具,書庫（スチール）,5376,2,10752,大阪,クレジットカード
K002388,2024-08-14,C0023,法人,オフィス家具,パーテーション,5593,1,5593,東京,請求書払い
K004877,2024-08-14,C0055,法人,生活用品,ハンドソープ詰替,1243,2,2486,神奈川,クレジットカード
K003464,2024-08-14,C0129,個人,生活用品,ハンドソープ詰替,2315,4,9260,東京,クレジットカード
K004337,2024-08-14,C0275,法人,文具,修正テープ,633,16,10128,神奈川,請求書払い
K001269,2024-08-14,C0034,法人,OA用品,USBメモリ32GB,7582,3,22746,神奈川,クレジットカード
K004501,2024-08-14,C0001,個人,オフィス家具,パーテーション,5866,2,11732,東京,クレジットカード
K001552,2024-08-14,C0009,法人,OA用品,USBメモリ32GB,12280,5,61400,東京,請求書払い
K001832,2024-08-14,C0093,個人,食品飲料,スティックスープ,420,9,3780,北海道,クレジットカード
K000009,2024-08-14,C0107,個人,文具,ノート（A4・5冊）,365,4,1460,東京,クレジットカード
K004988,2024-08-14,C0288,個人,文具,ボールペン（10本）,563,12,6756,大阪,クレジットカード
K004115,2024-08-14,C0012,法人,OA用品,コピー用紙（A4・500枚）,3300,1,3300,東京,銀行振込
K001661,2024-08-14,C0019,個人,OA用品,コピー用紙（A4・500枚）,2180,1,2180,東京,請求書払い
K000962,2024-08-15,C0025,法人,OA用品,LANケーブル（5m）,2015,8,16120,埼玉,請求書払い
K002578,2024-08-15,C0149,法人,オフィス家具,デスクトップワゴン,3675,2,7350,東京,請求書払い
K001495,2024-08-15,C0258,個人,文具,ノート（A4・5冊）,643,15,9645,愛知,代金引換
K002333,2024-08-15,C0064,法人,文具,付箋セット,830,3,2490,埼玉,銀行振込
K004074,2024-08-15,C0045,個人,オフィス家具,オフィスチェア,7868,1,7868,東京,クレジットカード
K004662,2024-08-15,C0126,法人,文具,クリアファイル（20枚）,954,6,5724,東京,銀行振込
K003927,2024-08-15,C0280,法人,OA用品,電卓,3808,9,34272,大阪,請求書払い
K002431,2024-08-15,C0281,法人,OA用品,LANケーブル（5m）,1322,9,11898,大阪,クレジットカード
K001934,2024-08-15,C0259,個人,食品飲料,緑茶ペット（24本）,571,7,3997,大阪,クレジットカード
K003057,2024-08-15,C0125,法人,文具,ノート（A4・5冊）,674,12,8088,東京,請求書払い
K003948,2024-08-15,C0247,法人,生活用品,ウェットティッシュ,1519,5,7595,神奈川,クレジットカード
K004362,2024-08-15,C0147,法人,生活用品,ゴミ袋（90L・50枚）,1424,8,11392,埼玉,請求書払い
K000804,2024-08-16,C0216,法人,生活用品,ハンドソープ詰替,1684,5,8420,福岡,請求書払い
K003126,2024-08-16,C0094,個人,文具,ボールペン（10本）,1558,8,12464,神奈川,クレジットカード
K000205,2024-08-16,C0237,個人,オフィス家具,デスクトップワゴン,7665,2,15330,東京,クレジットカード
K002265,2024-08-16,C0155,個人,文具,修正テープ,787,8,6296,大阪,クレジットカード
K004165,2024-08-16,C0119,法人,OA用品,トナーカートリッジ,2918,5,14590,北海道,請求書払い
K003492,2024-08-16,C0147,法人,OA用品,LANケーブル（5m）,3340,10,33400,神奈川,請求書払い
K001689,2024-08-16,C0184,個人,OA用品,コピー用紙（A4・500枚）,1798,10,17980,愛知,クレジットカード
K001579,2024-08-16,C0218,個人,OA用品,USBメモリ32GB,2190,4,8760,埼玉,クレジットカード
K000542,2024-08-16,C0152,法人,OA用品,USBメモリ32GB,2205,4,8820,東京,請求書払い
K004356,2024-08-16,C0055,法人,文具,ノート（A4・5冊）,448,3,1344,東京,請求書払い
K004088,2024-08-16,C0207,個人,生活用品,トイレットペーパー（12ロール）,1934,8,15472,神奈川,クレジットカード
K002406,2024-08-16,C0196,法人,食品飲料,個包装菓子アソート,364,7,2548,東京,請求書払い
K000663,2024-08-16,C0003,個人,OA用品,USBメモリ32GB,2308,4,9232,大阪,代金引換
K003253,2024-08-16,C0024,個人,食品飲料,ドリップコーヒー（50杯）,700,4,2800,愛知,請求書払い
K003675,2024-08-17,C0245,法人,生活用品,ウェットティッシュ,2864,2,5728,神奈川,銀行振込
K002665,2024-08-17,C0217,個人,生活用品,紙コップ（100個）,1322,1,1322,神奈川,クレジットカード
K001509,2024-08-17,C0104,法人,オフィス家具,会議用テーブル,4284,6,25704,東京,請求書払い
K002035,2024-08-17,C0062,法人,生活用品,ハンドソープ詰替,1526,18,27468,北海道,請求書払い
K001093,2024-08-17,C0269,法人,生活用品,トイレットペーパー（12ロール）,3383,5,16915,福岡,銀行振込
K002323,2024-08-17,C0255,法人,生活用品,ハンドソープ詰替,757,2,1514,大阪,請求書払い
K003232,2024-08-17,C0296,個人,生活用品,ゴミ袋（90L・50枚）,984,3,2952,愛知,クレジットカード
K000031,2024-08-17,C0266,個人,オフィス家具,パーテーション,5278,1,5278,大阪,クレジットカード
K003473,2024-08-18,C0161,法人,食品飲料,個包装菓子アソート,434,9,3906,愛知,請求書払い
K000147,2024-08-18,C0210,法人,OA用品,LANケーブル（5m）,2465,7,17255,神奈川,請求書払い
K001993,2024-08-19,C0204,法人,生活用品,ハンドソープ詰替,505,4,2020,東京,銀行振込
K000328,2024-08-19,C0117,法人,生活用品,紙コップ（100個）,760,11,8360,埼玉,銀行振込
K003701,2024-08-19,C0133,法人,OA用品,コピー用紙（A4・500枚）,1592,1,1592,北海道,クレジットカード
K003862,2024-08-19,C0029,法人,食品飲料,スティックスープ,496,7,3472,東京,銀行振込
K001557,2024-08-19,C0197,個人,OA用品,USBメモリ32GB,1622,5,8110,大阪,クレジットカード
K003072,2024-08-19,C0001,個人,食品飲料,個包装菓子アソート,946,13,12298,神奈川,クレジットカード
K000794,2024-08-19,C0212,法人,OA用品,USBメモリ32GB,1388,5,6940,愛知,銀行振込
K004496,2024-08-19,C0112,法人,OA用品,トナーカートリッジ,3272,1,3272,大阪,請求書払い
K003210,2024-08-19,C0087,法人,OA用品,トナーカートリッジ,3235,1,3235,東京,請求書払い
K000021,2024-08-19,C0093,個人,オフィス家具,デスクトップワゴン,15246,1,15246,神奈川,クレジットカード
K004893,2024-08-19,C0133,法人,食品飲料,スティックスープ,506,14,7084,東京,クレジットカード
K000696,2024-08-19,C0189,法人,OA用品,電卓,1742,4,6968,東京,請求書払い
K002291,2024-08-19,,個人,OA用品,USBメモリ32GB,2645,3,7935,神奈川,代金引換
K001532,2024-08-19,C0152,法人,文具,修正テープ,586,12,7032,福岡,クレジットカード
K001823,2024-08-20,C0262,法人,OA用品,電卓,4465,7,31255,愛知,請求書払い
K001844,2024-08-20,C0154,法人,オフィス家具,オフィスチェア,7812,2,15624,神奈川,請求書払い
K004222,2024-08-20,C0255,法人,文具,修正テープ,559,3,1677,大阪,銀行振込
K000511,2024-08-20,C0198,法人,OA用品,トナーカートリッジ,1158,3,3474,東京,請求書払い
K000261,2024-08-20,,法人,生活用品,紙コップ（100個）,442,33,14586,東京,銀行振込
K001730,2024-08-20,C0219,個人,OA用品,USBメモリ32GB,3082,5,15410,大阪,クレジットカード
K001788,2024-08-20,C0015,個人,OA用品,コピー用紙（A4・500枚）,4495,2,8990,東京,代金引換
K002353,2024-08-20,C0008,個人,文具,クリアファイル（20枚）,776,3,2328,埼玉,クレジットカード
K002544,2024-08-20,C0163,個人,文具,ノート（A4・5冊）,503,4,2012,大阪,クレジットカード
K003110,2024-08-20,C0033,法人,文具,ボールペン（10本）,1168,12,14016,福岡,クレジットカード
K003853,2024-08-20,C0176,法人,生活用品,トイレットペーパー（12ロール）,636,15,9540,東京,請求書払い
K001087,2024-08-20,C0233,法人,文具,ボールペン（10本）,1128,12,13536,神奈川,請求書払い
K003659,2024-08-20,C0208,個人,OA用品,コピー用紙（A4・500枚）,3025,4,12100,埼玉,クレジットカード
K003814,2024-08-20,C0180,法人,生活用品,ウェットティッシュ,1284,14,17976,神奈川,請求書払い
K000346,2024-08-21,C0213,法人,文具,修正テープ,694,6,4164,神奈川,請求書払い
K004538,2024-08-21,C0054,法人,文具,付箋セット,463,10,4630,東京,請求書払い
K001250,2024-08-21,C0186,法人,食品飲料,ミネラルウォーター（24本）,496,59,29264,埼玉,請求書払い
K003239,2024-08-21,C0209,法人,OA用品,トナーカートリッジ,2255,6,13530,愛知,請求書払い
K003136,2024-08-21,C0229,個人,生活用品,トイレットペーパー（12ロール）,916,8,7328,神奈川,クレジットカード
K004200,2024-08-21,C0271,個人,生活用品,トイレットペーパー（12ロール）,1690,1,1690,愛知,クレジットカード
K002308,2024-08-21,C0264,個人,OA用品,LANケーブル（5m）,2652,1,2652,東京,クレジットカード
K001897,2024-08-21,C0134,法人,OA用品,LANケーブル（5m）,3345,1,3345,愛知,請求書払い
K001171,2024-08-21,C0161,法人,文具,クリアファイル（20枚）,3031,2,6062,神奈川,請求書払い
K002118,2024-08-21,C0133,法人,文具,ボールペン（10本）,1684,6,10104,愛知,請求書払い
K001046,2024-08-21,C0269,法人,生活用品,ゴミ袋（90L・50枚）,1274,4,5096,埼玉,請求書払い
K001452,2024-08-21,C0197,個人,生活用品,トイレットペーパー（12ロール）,2645,4,10580,福岡,クレジットカード
K001399,2024-08-21,C0156,法人,文具,ノート（A4・5冊）,1234,10,12340,東京,クレジットカード
K000560,2024-08-22,C0066,法人,生活用品,ゴミ袋（90L・50枚）,1096,7,7672,東京,請求書払い
K001281,2024-08-22,C0016,法人,文具,クリアファイル（20枚）,355,8,2840,大阪,銀行振込
K001923,2024-08-22,C0146,個人,OA用品,USBメモリ32GB,2842,1,2842,大阪,クレジットカード
K000545,2024-08-22,C0176,法人,生活用品,トイレットペーパー（12ロール）,1771,1,1771,大阪,クレジットカード
K003426,2024-08-22,C0107,個人,OA用品,トナーカートリッジ,4495,3,13485,北海道,代金引換
K000757,2024-08-22,C0014,法人,オフィス家具,オフィスチェア,20566,2,41132,東京,クレジットカード
K000492,2024-08-22,C0001,個人,食品飲料,緑茶ペット（24本）,312,7,2184,東京,クレジットカード
K000625,2024-08-22,C0079,個人,食品飲料,個包装菓子アソート,517,11,5687,埼玉,クレジットカード
K002465,2024-08-22,C0269,法人,OA用品,USBメモリ32GB,3880,3,11640,埼玉,銀行振込
K003331,2024-08-22,C0159,法人,OA用品,トナーカートリッジ,1172,1,1172,神奈川,請求書払い
K000433,2024-08-22,,個人,文具,修正テープ,481,4,1924,東京,請求書払い
K004195,2024-08-22,C0221,個人,生活用品,ハンドソープ詰替,1386,8,11088,大阪,代金引換
K001709,2024-08-22,C0161,法人,生活用品,紙コップ（100個）,1445,8,11560,大阪,銀行振込
K004044,2024-08-22,C0197,個人,OA用品,USBメモリ32GB,4522,4,18088,東京,クレジットカード
K001155,2024-08-22,C0127,個人,OA用品,電卓,1665,4,6660,東京,クレジットカード
K001497,2024-08-22,C0258,個人,OA用品,LANケーブル（5m）,2022,6,12132,大阪,クレジットカード
K000082,2024-08-23,C0246,法人,文具,ボールペン（10本）,540,16,8640,東京,請求書払い
K002463,2024-08-23,C0160,法人,オフィス家具,書庫（スチール）,9485,1,9485,北海道,請求書払い
K004947,2024-08-23,C0218,個人,文具,付箋セット,572,4,2288,福岡,クレジットカード
K003933,2024-08-23,C0062,法人,文具,ノート（A4・5冊）,617,8,4936,東京,銀行振込
K000299,2024-08-23,C0177,個人,オフィス家具,書庫（スチール）,8155,2,16310,北海道,クレジットカード
K002745,2024-08-23,C0057,法人,文具,付箋セット,360,6,2160,神奈川,請求書払い
K003506,2024-08-23,C0128,法人,OA用品,LANケーブル（5m）,2205,5,11025,愛知,銀行振込
K003015,2024-08-23,C0009,法人,文具,ノート（A4・5冊）,853,10,8530,埼玉,請求書払い
K001363,2024-08-23,C0078,法人,OA用品,コピー用紙（A4・500枚）,2912,1,2912,大阪,請求書払い
K002798,2024-08-23,C0043,法人,OA用品,LANケーブル（5m）,9045,4,36180,神奈川,銀行振込
K003714,2024-08-23,C0191,個人,オフィス家具,パーテーション,11347,4,45388,神奈川,請求書払い
K002162,2024-08-23,C0072,法人,食品飲料,ミネラルウォーター（24本）,1327,7,9289,北海道,請求書払い
K001194,2024-08-23,C0026,法人,文具,修正テープ,455,3,1365,大阪,請求書払い
K004740,2024-08-23,C0168,法人,生活用品,紙コップ（100個）,2170,4,8680,北海道,請求書払い
K000574,2024-08-23,C0013,個人,文具,付箋セット,598,10,5980,愛知,代金引換
K000750,2024-08-24,C0084,法人,文具,ボールペン（10本）,506,15,7590,東京,請求書払い
K001569,2024-08-24,C0195,個人,文具,付箋セット,493,9,4437,神奈川,クレジットカード
K003422,2024-08-24,C0092,法人,オフィス家具,書庫（スチール）,5859,4,23436,愛知,銀行振込
K003064,2024-08-24,C0009,法人,食品飲料,スティックスープ,508,25,12700,東京,銀行振込
K003556,2024-08-24,C0249,個人,文具,クリアファイル（20枚）,977,3,2931,愛知,クレジットカード
K000913,2024-08-24,C0029,法人,食品飲料,スティックスープ,1075,9,9675,愛知,クレジットカード
K001732,2024-08-24,C0228,個人,生活用品,ゴミ袋（90L・50枚）,1912,3,5736,福岡,クレジットカード
K001644,2024-08-24,C0052,法人,生活用品,ウェットティッシュ,775,2,1550,埼玉,請求書払い
K004358,2024-08-25,C0074,個人,文具,付箋セット,549,4,2196,東京,請求書払い
K004861,2024-08-25,C0298,個人,生活用品,ハンドソープ詰替,1271,2,2542,東京,クレジットカード
K003428,2024-08-25,C0101,個人,OA用品,LANケーブル（5m）,2652,7,18564,東京,クレジットカード
K004083,2024-08-25,C0176,法人,文具,クリアファイル（20枚）,855,2,1710,東京,クレジットカード
K002586,2024-08-25,C0238,法人,OA用品,USBメモリ32GB,2895,28,81060,埼玉,請求書払い
K003004,2024-08-25,C0199,法人,生活用品,ハンドソープ詰替,1633,2,3266,東京,請求書払い
K001819,2024-08-25,C0225,法人,文具,付箋セット,1046,8,8368,大阪,請求書払い
K004514,2024-08-25,C0133,法人,文具,ボールペン（10本）,944,8,7552,愛知,クレジットカード
K000484,2024-08-26,C0206,法人,OA用品,USBメモリ32GB,2685,9,24165,大阪,請求書払い
K000753,2024-08-26,C0093,個人,文具,ノート（A4・5冊）,538,4,2152,東京,クレジットカード
K002515,2024-08-26,,個人,生活用品,ゴミ袋（90L・50枚）,2159,1,2159,福岡,クレジットカード
K004855,2024-08-26,C0150,個人,文具,ノート（A4・5冊）,1679,14,23506,福岡,クレジットカード
K001060,2024-08-26,C0176,法人,生活用品,ハンドソープ詰替,953,2,1906,東京,クレジットカード
K003269,2024-08-26,C0233,法人,食品飲料,緑茶ペット（24本）,478,14,6692,東京,銀行振込
K000613,2024-08-26,C0049,個人,文具,修正テープ,1237,2,2474,東京,代金引換
K002458,2024-08-26,C0224,法人,生活用品,トイレットペーパー（12ロール）,2978,1,2978,埼玉,請求書払い
K001246,2024-08-26,C0153,法人,オフィス家具,書庫（スチール）,10808,4,43232,神奈川,クレジットカード
K001044,2024-08-26,C0133,法人,オフィス家具,デスクトップワゴン,9618,2,19236,東京,銀行振込
K003630,2024-08-26,C0016,法人,文具,ボールペン（10本）,557,3,1671,神奈川,銀行振込
K000350,2024-08-26,C0069,個人,文具,修正テープ,958,2,1916,大阪,代金引換
K004308,2024-08-27,C0280,法人,OA用品,コピー用紙（A4・500枚）,1730,10,17300,愛知,請求書払い
K000481,2024-08-27,C0204,法人,文具,クリアファイル（20枚）,375,6,2250,神奈川,請求書払い
K002763,2024-08-27,C0088,法人,OA用品,コピー用紙（A4・500枚）,4292,8,34336,大阪,銀行振込
K002601,2024-08-27,C0027,法人,OA用品,トナーカートリッジ,5038,3,15114,北海道,クレジットカード
K000230,2024-08-27,C0058,法人,OA用品,コピー用紙（A4・500枚）,5610,3,16830,大阪,銀行振込
K000383,2024-08-27,C0198,法人,文具,修正テープ,1231,2,2462,福岡,銀行振込
K003889,2024-08-27,C0050,法人,OA用品,トナーカートリッジ,1395,4,5580,大阪,クレジットカード
K003151,2024-08-27,C0193,個人,OA用品,トナーカートリッジ,1215,10,12150,愛知,クレジットカード
K001183,2024-08-28,C0002,法人,オフィス家具,書庫（スチール）,11438,1,11438,東京,請求書払い
K001173,2024-08-28,C0174,法人,OA用品,コピー用紙（A4・500枚）,1055,1,1055,愛知,銀行振込
K004186,2024-08-28,C0286,法人,OA用品,USBメモリ32GB,4815,1,4815,東京,銀行振込
K004134,2024-08-28,C0155,個人,文具,付箋セット,889,4,3556,東京,代金引換
K004101,2024-08-28,C0173,法人,OA用品,コピー用紙（A4・500枚）,2025,5,10125,福岡,請求書払い
K000585,2024-08-28,C0117,法人,文具,クリアファイル（20枚）,792,16,12672,北海道,請求書払い
K003250,2024-08-28,C0028,法人,文具,クリアファイル（20枚）,916,2,1832,神奈川,請求書払い
K002266,2024-08-28,C0172,個人,文具,クリアファイル（20枚）,222,3,666,東京,クレジットカード
K001550,2024-08-28,C0175,個人,生活用品,トイレットペーパー（12ロール）,824,8,6592,福岡,クレジットカード
K000163,2024-08-28,C0259,個人,文具,修正テープ,410,4,1640,神奈川,クレジットカード
K000194,2024-08-28,C0255,法人,文具,付箋セット,871,20,17420,北海道,請求書払い
K001364,2024-08-28,C0075,法人,OA用品,USBメモリ32GB,2130,5,10650,東京,銀行振込
K000162,2024-08-28,C0285,法人,生活用品,ハンドソープ詰替,1746,2,3492,北海道,請求書払い
K003343,2024-08-28,C0107,個人,オフィス家具,デスクトップワゴン,4270,1,4270,大阪,クレジットカード
K000115,2024-08-28,C0180,法人,生活用品,ハンドソープ詰替,442,2,884,埼玉,請求書払い
K003030,2024-08-28,C0264,個人,文具,付箋セット,687,2,1374,神奈川,請求書払い
K000415,2024-08-28,C0100,個人,文具,クリアファイル（20枚）,385,3,1155,東京,クレジットカード
K000929,2024-08-28,,個人,文具,修正テープ,458,21,9618,北海道,請求書払い
K000840,2024-08-28,C0288,個人,生活用品,ゴミ袋（90L・50枚）,1732,1,1732,東京,クレジットカード
K004680,2024-08-28,C0022,個人,文具,クリアファイル（20枚）,1057,15,15855,東京,代金引換
